Yıl,Ay,Dis_Hat_Yolcu_Sayisi,Ay_Adı,Turizm_Geliri_USD,Ziyaretci_Turizm_Geliri_USD,avg_Kisi_Basi_Harcama_USD,Gecelik_Harcama_USD,USD_TRY,EUR_TRY,TUFE_yillik_pct,Otel_Doluluk_Turkiye,Pandemi,PostCovidTrend,Sezon,Ay_1,Ay_2,Ay_3,Ay_4,Ay_5,Ay_6,Ay_7,Ay_8,Ay_9,Ay_10,Ay_11,Ay_12
2015,1,4257958,Ocak,5045463,1681821,315.0,35.0,2.3283428571429,2.7162142857143,7.24,,0,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2015,2,3860738,Şubat,5045463,1681821,315.0,35.0,2.455225,2.78988,7.55,,0,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2015,3,4749347,Mart,5045463,1681821,315.0,35.0,2.5838409090909,2.80465,7.61,,0,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2015,4,5839015,Nisan,8562570,2854190,265.0,35.0,2.6481428571429,2.8534047619048,7.91,,0,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2015,5,8039071,Mayıs,8562570,2854190,265.0,35.0,2.6461368421053,2.9551105263158,28.28,,0,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2015,6,8776075,Haziran,8562570,2854190,265.0,35.0,2.7011590909091,3.0267454545455,7.2,,0,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2015,7,10428643,Temmuz,17046475,5682158,326.0,27.0,2.6946045454545,2.9709818181818,6.81,,0,0,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2015,8,11271543,Ağustos,17046475,5682158,326.0,27.0,2.8455571428571,3.167219047619,7.14,,0,0,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2015,9,9520431,Eylül,17046475,5682158,326.0,27.0,3.002715,3.3749,7.95,,0,0,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2015,10,8006372,Ekim,7046415,2348805,290.0,26.0,2.9295761904762,3.2986047619048,7.58,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2015,11,4827394,Kasım,7046415,2348805,290.0,26.0,2.8712857142857,3.0894333333333,28.28,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2015,12,4462475,Aralık,7046415,2348805,290.0,26.0,2.9172347826087,3.1696913043478,8.81,,0,0,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2016,1,4589085,Ocak,4239223,1413074,277.0,28.0,3.00695,3.26692,9.58,,0,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2016,2,4124069,Şubat,4239223,1413074,277.0,28.0,2.9406619047619,3.2628,8.78,,0,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2016,3,4920231,Mart,4239223,1413074,277.0,28.0,2.8917391304348,3.206347826087,7.46,,0,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2016,4,5202823,Nisan,5419004,1806335,241.0,29.0,2.8347380952381,3.2134047619048,6.57,,0,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2016,5,6555230,Mayıs,5419004,1806335,241.0,29.0,2.9265952380952,3.3147333333333,6.58,,0,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2016,6,6250291,Haziran,5419004,1806335,241.0,29.0,2.9169863636364,3.2773636363636,7.64,,0,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2016,7,7767981,Temmuz,11652436,3884145,322.0,23.0,2.9575555555556,3.2709666666667,8.79,,0,0,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2016,8,8569548,Ağustos,11652436,3884145,322.0,23.0,2.9628636363636,3.3207454545455,28.28,,0,0,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2016,9,7781019,Eylül,11652436,3884145,322.0,23.0,2.9601,3.3165111111111,7.28,,0,0,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2016,10,6923922,Ekim,5228344,1742781,260.0,20.0,3.0679428571429,3.3866428571429,7.16,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2016,11,4320463,Kasım,5228344,1742781,260.0,20.0,3.26745,3.5343863636364,7.0,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2016,12,4343596,Aralık,5228344,1742781,260.0,20.0,3.4889272727273,3.6812818181818,8.53,,0,0,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2017,1,3993624,Ocak,3429567,1143189,236.0,23.0,3.7348863636364,3.9654863636364,9.22,,0,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2017,2,3841527,Şubat,3429567,1143189,236.0,23.0,3.67236,3.91099,10.13,,0,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2017,3,4658056,Mart,3429567,1143189,236.0,23.0,3.6659434782609,3.9157739130435,11.29,,0,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2017,4,6025698,Nisan,5819861,1939954,219.0,26.0,3.653835,3.9101,11.87,,0,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2017,5,7375782,Mayıs,5819861,1939954,219.0,26.0,3.5638619047619,3.9323857142857,11.72,,0,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2017,6,8167814,Haziran,5819861,1939954,219.0,26.0,3.51899,3.94866,10.9,,0,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2017,7,10475487,Temmuz,15342973,5114324,307.0,26.0,3.5598666666667,4.0914238095238,9.79,,0,0,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2017,8,11068825,Ağustos,15342973,5114324,307.0,26.0,3.5124772727273,4.1436181818182,10.68,,0,0,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2017,9,9723405,Eylül,15342973,5114324,307.0,26.0,3.4680473684211,4.1376947368421,11.2,,0,0,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2017,10,8001344,Ekim,6661434,2220478,269.0,22.0,3.6622590909091,4.3082909090909,11.9,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2017,11,5101612,Kasım,6661434,2220478,269.0,22.0,3.87905,4.5496272727273,12.98,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2017,12,5100779,Aralık,6661434,2220478,269.0,22.0,3.8477047619048,4.552519047619,11.92,,0,0,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2018,1,5169937,Ocak,4545368,1515123,247.0,27.0,3.7723272727273,4.5912818181818,10.35,,0,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2018,2,4695638,Şubat,4545368,1515123,247.0,27.0,3.77802,4.67317,10.26,,0,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2018,3,5778644,Mart,4545368,1515123,247.0,27.0,3.8808772727273,4.7854636363636,10.23,,0,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2018,4,7083650,Nisan,7872192,2624064,237.0,27.0,4.05403,4.983805,10.85,,0,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2018,5,8737437,Mayıs,7872192,2624064,237.0,27.0,4.4141454545455,5.2222954545455,12.15,,0,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2018,6,10007807,Haziran,7872192,2624064,237.0,27.0,4.62822,5.40696,15.39,,0,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2018,7,12026182,Temmuz,16275138,5425046,289.0,24.0,4.7480090909091,5.5453090909091,15.85,,0,0,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2018,8,12332042,Ağustos,16275138,5425046,289.0,24.0,5.7301944444444,6.6065833333333,17.9,,0,0,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2018,9,10903327,Eylül,16275138,5425046,289.0,24.0,6.36687,7.42468,24.52,,0,0,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2018,10,9487068,Ekim,7228213,2409404,250.0,23.0,5.8593727272727,6.7417,25.24,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2018,11,5828225,Kasım,7228213,2409404,250.0,23.0,5.3734909090909,6.1060818181818,21.62,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2018,12,5537099,Aralık,7228213,2409404,250.0,23.0,5.3061238095238,6.038680952381,20.3,,0,0,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2019,1,5489751,Ocak,4844420,1614807,243.0,27.0,5.3693909090909,6.1324318181818,20.35,,0,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2019,2,5137969,Şubat,4844420,1614807,243.0,27.0,5.262055,5.975095,19.67,,0,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2019,3,6160367,Mart,4844420,1614807,243.0,27.0,5.4419380952381,6.157980952381,19.71,,0,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2019,4,7711442,Nisan,9163454,3054485,239.0,27.0,5.7357714285714,6.4475333333333,19.5,,0,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2019,5,9316809,Mayıs,9163454,3054485,239.0,27.0,6.0494454545455,6.7673227272727,18.71,,0,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2019,6,11427985,Haziran,9163454,3054485,239.0,27.0,5.8119352941176,6.5568941176471,15.72,,0,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2019,7,13349825,Temmuz,19831482,6610494,306.0,27.0,5.6721772727273,6.3691318181818,16.65,,0,0,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2019,8,14150587,Ağustos,19831482,6610494,306.0,27.0,5.6247888888889,6.2560277777778,28.28,,0,0,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2019,9,12204381,Eylül,19831482,6610494,306.0,27.0,5.7127952380952,6.2935952380952,9.26,,0,0,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2019,10,10855875,Ekim,9012421,3004140,277.0,24.0,5.7845409090909,6.3859090909091,8.55,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2019,11,6544396,Kasım,9012421,3004140,277.0,24.0,5.7312285714286,6.3398523809524,10.56,,0,0,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2019,12,6077737,Aralık,9012421,3004140,277.0,24.0,5.8376272727273,6.4808863636364,11.84,,0,0,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2020,1,6150060,Ocak,4842626,1591949,282.0,30.0,5.9181590909091,6.5750590909091,12.15,,0,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2020,2,5424274,Şubat,4842626,1591949,282.0,30.0,6.04447,6.5939,12.37,,0,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2020,3,2535235,Mart,4842626,1591949,282.0,30.0,6.3144318181818,6.9887409090909,11.86,,1,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2020,4,60163,Nisan,651396,217089,295.77,27.0,6.8189523809524,7.4167666666667,10.94,,1,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2020,5,32782,Mayıs,651396,217089,295.77,27.0,6.9519470588235,7.5595176470588,11.39,,1,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2020,6,344152,Haziran,651396,217089,295.77,27.0,6.8088318181818,7.6624227272727,12.62,,1,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2020,7,1582720,Temmuz,5531919,1839758,328.0,22.0,6.8510952380952,7.8209761904762,11.76,,1,0,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2020,8,3783054,Ağustos,5531919,1839758,328.0,22.0,7.25219,8.57579,11.77,,1,0,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2020,9,4313672,Eylül,5531919,1839758,328.0,22.0,7.5077818181818,8.86075,11.75,,1,0,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2020,10,3717626,Ekim,4261869,1407661,307.0,19.0,7.873880952381,9.2737047619048,11.89,,1,0,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2020,11,2024275,Kasım,4261869,1407661,307.0,19.0,8.0033238095238,9.4572,28.28,,1,0,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2020,12,1907824,Aralık,4261869,1407661,307.0,19.0,7.7210652173913,9.3841739130435,14.6,,1,0,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2021,1,1844659,Ocak,2669614,875476,337.0,20.0,7.393975,9.00809,14.97,,1,0,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2021,2,1657586,Şubat,2669614,875476,337.0,20.0,7.072365,8.556185,15.61,,1,0,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2021,3,2480131,Mart,2669614,875476,337.0,20.0,7.6282347826087,9.0913347826087,16.19,,1,0,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2021,4,2453425,Nisan,3492260,1148067,282.0,22.0,8.1550238095238,9.7338952380952,17.14,,1,0,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2021,5,2433395,Mayıs,3492260,1148067,282.0,22.0,8.34225,10.130661111111,16.59,,1,0,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2021,6,4302390,Haziran,3492260,1148067,282.0,22.0,8.5966818181818,10.371213636364,17.53,,1,0,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2021,7,8399950,Temmuz,15596408,5178688,380.0,27.0,8.6129411764706,10.192188235294,18.95,,0,1,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2021,8,9431155,Ağustos,15596408,5178688,380.0,27.0,8.4757142857143,9.9783047619048,19.25,,0,1,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2021,9,8331992,Eylül,15596408,5178688,380.0,27.0,8.5118818181818,10.028577272727,19.58,,0,1,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2021,10,8600172,Ekim,8770059,2901010,321.0,23.0,9.139945,10.601325,19.89,,0,1,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2021,11,5001379,Kasım,8770059,2901010,321.0,23.0,10.523263636364,12.011395454545,21.31,,0,1,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2021,12,4753351,Aralık,8770059,2901010,321.0,23.0,13.528495652174,15.28957826087,36.08,,0,1,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2022,1,4246896,Ocak,6368559,2101424,326.0,26.0,13.519261904762,15.314795238095,48.69,,0,1,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2022,2,4171533,Şubat,6368559,2101424,326.0,26.0,13.621125,15.44385,54.44,,0,1,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2022,3,5228788,Mart,6368559,2101424,326.0,26.0,14.565608695652,16.054017391304,61.14,,0,1,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2022,4,6263324,Nisan,10624004,3512142,294.0,30.0,14.683566666667,15.932176190476,69.97,,0,1,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2022,5,8613485,Mayıs,10624004,3512142,294.0,30.0,15.623922222222,16.528583333333,73.5,,0,1,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2022,6,10723192,Haziran,10624004,3512142,294.0,30.0,16.964718181818,17.959236363636,78.62,,0,1,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2022,7,13318063,Temmuz,21508293,7126267,339.0,29.0,17.387416666667,17.772877777778,79.6,,0,1,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2022,8,13805170,Ağustos,21508293,7126267,339.0,29.0,17.99495,18.252209090909,80.21,,0,1,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2022,9,12169860,Eylül,21508293,7126267,339.0,29.0,18.281477272727,18.128695454545,83.45,,0,1,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2022,10,10995327,Ekim,11748081,3879177,324.0,28.0,18.564614285714,18.249766666667,85.51,,0,1,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
2022,11,7113417,Kasım,11748081,3879177,324.0,28.0,18.590895454545,18.920454545455,84.39,,0,1,Sonbahar,False,False,False,False,False,False,False,False,False,False,True,False
2022,12,6816460,Aralık,11748081,3879177,324.0,28.0,18.636968181818,19.704690909091,64.27,,0,1,Kış,False,False,False,False,False,False,False,False,False,False,False,True
2023,1,6854892,Ocak,8450781,2778056,340.0,28.0,18.757572727273,20.195713636364,57.68,33.3,0,1,Kış,True,False,False,False,False,False,False,False,False,False,False,False
2023,2,6121215,Şubat,8450781,2778056,340.0,28.0,18.82331,20.193965,55.18,30.9,0,1,Kış,False,True,False,False,False,False,False,False,False,False,False,False
2023,3,7177393,Mart,8450781,2778056,340.0,28.0,18.969308695652,20.288852173913,50.51,32.8,0,1,İlkbahar,False,False,True,False,False,False,False,False,False,False,False,False
2023,4,8556813,Nisan,13440175,4435833,317.0,34.0,19.302252631579,21.148910526316,43.68,34.9,0,1,İlkbahar,False,False,False,True,False,False,False,False,False,False,False,False
2023,5,10573717,Mayıs,13440175,4435833,317.0,34.0,19.684047619048,21.425480952381,39.59,49.5,0,1,İlkbahar,False,False,False,False,True,False,False,False,False,False,False,False
2023,6,12512156,Haziran,13440175,4435833,317.0,34.0,23.064489473684,24.944284210526,38.21,59.8,0,1,Yaz,False,False,False,False,False,True,False,False,False,False,False,False
2023,7,14933223,Temmuz,22502131,7446052,332.0,30.0,26.422738095238,29.204085714286,47.83,70.6,0,1,Yaz,False,False,False,False,False,False,True,False,False,False,False,False
2023,8,15366344,Ağustos,22502131,7446052,332.0,30.0,26.950577272727,29.4287,58.94,73.4,0,1,Yaz,False,False,False,False,False,False,False,True,False,False,False,False
2023,9,13495388,Eylül,22502131,7446052,332.0,30.0,26.940919047619,28.820471428571,61.53,63.5,0,1,Sonbahar,False,False,False,False,False,False,False,False,True,False,False,False
2023,10,12292077,Ekim,12046525,3964784,318.0,30.0,27.796031818182,29.35675,61.36,57.9,0,1,Sonbahar,False,False,False,False,False,False,False,False,False,True,False,False
