Yıl,Ay,Dis_Hat_Yolcu_Sayisi,Ay_Adı,Turizm_Geliri_USD,Ziyaretci_Turizm_Geliri_USD,avg_Kisi_Basi_Harcama_USD,Gecelik_Harcama_USD
2015,1,4257958,Ocak,5045463,1681821,315,35
2015,2,3860738,Şubat,5045463,1681821,315,35
2015,3,4749347,Mart,5045463,1681821,315,35
2015,4,5839015,Nisan,8562570,2854190,265,35
2015,5,8039071,Mayıs,8562570,2854190,265,35
2015,6,8776075,Haziran,8562570,2854190,265,35
2015,7,10428643,Temmuz,17046475,5682158,326,27
2015,8,11271543,Ağustos,17046475,5682158,326,27
2015,9,9520431,Eylül,17046475,5682158,326,27
2015,10,8006372,Ekim,7046415,2348805,290,26
2015,11,4827394,Kasım,7046415,2348805,290,26
2015,12,4462475,Aralık,7046415,2348805,290,26
2016,1,4589085,Ocak,4239223,1413074,277,28
2016,2,4124069,Şubat,4239223,1413074,277,28
2016,3,4920231,Mart,4239223,1413074,277,28
2016,4,5202823,Nisan,5419004,1806335,241,29
2016,5,6555230,Mayıs,5419004,1806335,241,29
2016,6,6250291,Haziran,5419004,1806335,241,29
2016,7,7767981,Temmuz,11652436,3884145,322,23
2016,8,8569548,Ağustos,11652436,3884145,322,23
2016,9,7781019,Eylül,11652436,3884145,322,23
2016,10,6923922,Ekim,5228344,1742781,260,20
2016,11,4320463,Kasım,5228344,1742781,260,20
2016,12,4343596,Aralık,5228344,1742781,260,20
2017,1,3993624,Ocak,3429567,1143189,236,23
2017,2,3841527,Şubat,3429567,1143189,236,23
2017,3,4658056,Mart,3429567,1143189,236,23
2017,4,6025698,Nisan,5819861,1939954,219,26
2017,5,7375782,Mayıs,5819861,1939954,219,26
2017,6,8167814,Haziran,5819861,1939954,219,26
2017,7,10475487,Temmuz,15342973,5114324,307,26
2017,8,11068825,Ağustos,15342973,5114324,307,26
2017,9,9723405,Eylül,15342973,5114324,307,26
2017,10,8001344,Ekim,6661434,2220478,269,22
2017,11,5101612,Kasım,6661434,2220478,269,22
2017,12,5100779,Aralık,6661434,2220478,269,22
2018,1,5169937,Ocak,4545368,1515123,247,27
2018,2,4695638,Şubat,4545368,1515123,247,27
2018,3,5778644,Mart,4545368,1515123,247,27
2018,4,7083650,Nisan,7872192,2624064,237,27
2018,5,8737437,Mayıs,7872192,2624064,237,27
2018,6,10007807,Haziran,7872192,2624064,237,27
2018,7,12026182,Temmuz,16275138,5425046,289,24
2018,8,12332042,Ağustos,16275138,5425046,289,24
2018,9,10903327,Eylül,16275138,5425046,289,24
2018,10,9487068,Ekim,7228213,2409404,250,23
2018,11,5828225,Kasım,7228213,2409404,250,23
2018,12,5537099,Aralık,7228213,2409404,250,23
2019,1,5489751,Ocak,4844420,1614807,243,27
2019,2,5137969,Şubat,4844420,1614807,243,27
2019,3,6160367,Mart,4844420,1614807,243,27
2019,4,7711442,Nisan,9163454,3054485,239,27
2019,5,9316809,Mayıs,9163454,3054485,239,27
2019,6,11427985,Haziran,9163454,3054485,239,27
2019,7,13349825,Temmuz,19831482,6610494,306,27
2019,8,14150587,Ağustos,19831482,6610494,306,27
2019,9,12204381,Eylül,19831482,6610494,306,27
2019,10,10855875,Ekim,9012421,3004140,277,24
2019,11,6544396,Kasım,9012421,3004140,277,24
2019,12,6077737,Aralık,9012421,3004140,277,24
