Yıl,Ay,Dis_Hat_Yolcu_Sayisi,Ay_Adı
2015,1,4257958,Ocak
2015,2,3860738,Şubat
2015,3,4749347,Mart
2015,4,5839015,Nisan
2015,5,8039071,Mayıs
2015,6,8776075,Haziran
2015,7,10428643,Temmuz
2015,8,11271543,Ağustos
2015,9,9520431,Eylül
2015,10,8006372,Ekim
2015,11,4827394,Kasım
2015,12,4462475,Aralık
2016,1,4589085,Ocak
2016,2,4124069,Şubat
2016,3,4920231,Mart
2016,4,5202823,Nisan
2016,5,6555230,Mayıs
2016,6,6250291,Haziran
2016,7,7767981,Temmuz
2016,8,8569548,Ağustos
2016,9,7781019,Eylül
2016,10,6923922,Ekim
2016,11,4320463,Kasım
2016,12,4343596,Aralık
2017,1,3993624,Ocak
2017,2,3841527,Şubat
2017,3,4658056,Mart
2017,4,6025698,Nisan
2017,5,7375782,Mayıs
2017,6,8167814,Haziran
2017,7,10475487,Temmuz
2017,8,11068825,Ağustos
2017,9,9723405,Eylül
2017,10,8001344,Ekim
2017,11,5101612,Kasım
2017,12,5100779,Aralık
2018,1,5169937,Ocak
2018,2,4695638,Şubat
2018,3,5778644,Mart
2018,4,7083650,Nisan
2018,5,8737437,Mayıs
2018,6,10007807,Haziran
2018,7,12026182,Temmuz
2018,8,12332042,Ağustos
2018,9,10903327,Eylül
2018,10,9487068,Ekim
2018,11,5828225,Kasım
2018,12,5537099,Aralık
2019,1,5489751,Ocak
2019,2,5137969,Şubat
2019,3,6160367,Mart
2019,4,7711442,Nisan
2019,5,9316809,Mayıs
2019,6,11427985,Haziran
2019,7,13349825,Temmuz
2019,8,14150587,Ağustos
2019,9,12204381,Eylül
2019,10,10855875,Ekim
2019,11,6544396,Kasım
2019,12,6077737,Aralık
2020,1,6150060,Ocak
2020,2,5424274,Şubat
2020,3,2535235,Mart
2020,4,60163,Nisan
2020,5,32782,Mayıs
2020,6,344152,Haziran
2020,7,1582720,Temmuz
2020,8,3783054,Ağustos
2020,9,4313672,Eylül
2020,10,3717626,Ekim
2020,11,2024275,Kasım
2020,12,1907824,Aralık
2021,1,1844659,Ocak
2021,2,1657586,Şubat
2021,3,2480131,Mart
2021,4,2453425,Nisan
2021,5,2433395,Mayıs
2021,6,4302390,Haziran
2021,7,8399950,Temmuz
2021,8,9431155,Ağustos
2021,9,8331992,Eylül
2021,10,8600172,Ekim
2021,11,5001379,Kasım
2021,12,4753351,Aralık
2022,1,4246896,Ocak
2022,2,4171533,Şubat
2022,3,5228788,Mart
2022,4,6263324,Nisan
2022,5,8613485,Mayıs
2022,6,10723192,Haziran
2022,7,13318063,Temmuz
2022,8,13805170,Ağustos
2022,9,12169860,Eylül
2022,10,10995327,Ekim
2022,11,7113417,Kasım
2022,12,6816460,Aralık
2023,1,6854892,Ocak
2023,2,6121215,Şubat
2023,3,7177393,Mart
2023,4,8556813,Nisan
2023,5,10573717,Mayıs
2023,6,12512156,Haziran
2023,7,14933223,Temmuz
2023,8,15366344,Ağustos
2023,9,13495388,Eylül
2023,10,12292077,Ekim
2023,11,7692852,Kasım
2023,12,7726327,Aralık
2024,1,7672752,Ocak
2024,2,7479130,Şubat
2024,3,8030948,Mart
2024,4,9715394,Nisan
2024,5,12104998,Mayıs
2024,6,13740060,Haziran
2024,7,15550598,Temmuz
2024,8,16017493,Ağustos
2024,9,14155837,Eylül
2024,10,13140797,Ekim
2024,11,8872459,Kasım
2024,12,8454654,Aralık
